t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,yaw_dot,yaw_ddot,thrust,tx,ty,tz,ox,oy,oz,odx,ody,odz
0.077000,0.000030,0.000012,1.000003,0.001895,0.000738,0.000189,0.093883,0.036642,0.009388,3.370466,1.321269,0.337047,0.000007,0.000426,0.021156,0.265137,-0.000462,0.001171,0.000138,-1.319868,3.367122,0.012990,-27.941174,70.624374,4.728877
0.078000,0.000032,0.000012,1.000003,0.001990,0.000775,0.000199,0.097290,0.037978,0.009729,3.443878,1.350362,0.344388,0.000007,0.000448,0.021926,0.265148,-0.000465,0.001176,0.000144,-1.348874,3.440333,0.013752,-28.069571,70.925331,4.936829
0.079000,0.000034,0.000013,1.000003,0.002089,0.000814,0.000209,0.100771,0.039343,0.010077,3.517707,1.379635,0.351771,0.000008,0.000470,0.022713,0.265158,-0.000467,0.001180,0.000151,-1.378054,3.513951,0.014547,-28.191742,71.210617,5.150453
0.080000,0.000036,0.000014,1.000004,0.002192,0.000854,0.000219,0.104326,0.040738,0.010433,3.591943,1.409082,0.359194,0.000008,0.000493,0.023518,0.265169,-0.000468,0.001185,0.000157,-1.407405,3.587967,0.015376,-28.307674,71.480225,5.369784
0.081000,0.000038,0.000015,1.000004,0.002298,0.000895,0.000230,0.107955,0.042161,0.010796,3.666571,1.438698,0.366657,0.000009,0.000517,0.024339,0.265180,-0.000470,0.001189,0.000164,-1.436920,3.662366,0.016239,-28.417347,71.734192,5.594858
0.082000,0.000041,0.000016,1.000004,0.002408,0.000938,0.000241,0.111659,0.043615,0.011166,3.741584,1.468481,0.374158,0.000009,0.000542,0.025177,0.265191,-0.000472,0.001193,0.000170,-1.466597,3.737139,0.017137,-28.520735,71.972443,5.825711
0.083000,0.000043,0.000017,1.000004,0.002521,0.000982,0.000252,0.115438,0.045098,0.011544,3.816968,1.498425,0.381697,0.000010,0.000567,0.026032,0.265203,-0.000473,0.001197,0.000177,-1.496430,3.812273,0.018071,-28.617819,72.195000,6.062376
0.084000,0.000046,0.000018,1.000005,0.002639,0.001028,0.000264,0.119293,0.046612,0.011929,3.892711,1.528526,0.389271,0.000010,0.000594,0.026905,0.265215,-0.000475,0.001200,0.000184,-1.526415,3.887756,0.019042,-28.708578,72.401840,6.304876
0.085000,0.000049,0.000019,1.000005,0.002760,0.001076,0.000276,0.123224,0.048156,0.012322,3.968804,1.558781,0.396880,0.000011,0.000621,0.027795,0.265227,-0.000476,0.001203,0.000192,-1.556548,3.963577,0.020051,-28.792973,72.592949,6.553243
0.086000,0.000051,0.000020,1.000005,0.002885,0.001125,0.000289,0.127231,0.049729,0.012723,4.045234,1.589184,0.404523,0.000012,0.000649,0.028703,0.265239,-0.000477,0.001206,0.000199,-1.586825,4.039726,0.021099,-28.870998,72.768333,6.807501
